username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
ALLMEP,the alliance for middle east peace is a network of over 160 ngos conducting peacebuilding between israelis and palestinians. rt≠endorsement,washington dc,2,0.334269186,0.331547327,0.334183487,0.334269186,0.665730814,0,0,0,
rachsieg,covering the federal reserve and economy for,washington dc,2,0.334269186,0.331547327,0.334183487,0.334269186,0.665730814,0,0,1,
wzo_official,the world zionist organization is committed to promoting zionist ideals and a love for israel as vital and positive elements of contemporary jewish life.,jerusalem israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
assaf_refugees,א.ס.ף - ארגון סיוע לפליטים ומבקשי מקלט בישראל | הגנה מעמד חוקי זכויות חברתיות וכלכליות לפליטים ולמבקשי מקלט בישראל | assaf aid ngo for refugees in israel,israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
RaabTalia,proud & unapologetically jewish. educator activist and content creator. speaking up for israel and the jewish people.,israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
MOhadIsrael,"محلل وصحفي مستقل بالجيروزاليم بوست.
خبروني عالخاص.

freelance analyst & writer for",jerusalem israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
onejewishstate,a think tank advancing the case for israeli sovereignty over judea & samaria. founded by,israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
NoaShpigel,correspondent for,israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
homelandguards,citizens for clean energy and industry אזרחים לקידום אנרגיה נקיה ועצירת תעשיה מזהמת.,israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
omdimbeyachad,"תנועה יהודית-ערבית לשלום שוויון וצדק חברתי حراك يهودى-عربي للسلام، مساواة وعدالة اجتماعية jewish-arab movement for peace equality & social justice in israel",,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
TimesofIsrael,the one-stop news site for israel the region & the jewish world. follow,jerusalem israel,0,0.33435089,0.33435089,0.334183257,0.331465853,0.66564911,1,1,1,
