username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
jonklinger,author of bestselling privacy policies as seen on your phone.,ramat hasharon israel,0,0.334694872,0.334694872,0.33359758,0.331707548,0.665305128,1,1,1,
OMTorah,executive director writing on the wall - join us; share your story,jerusalem israel,0,0.334694872,0.334694872,0.33359758,0.331707548,0.665305128,1,1,1,
StealthMedical1,passionate polyglot & polymath focused on biodefense infectious & rare diseases vaccine research medical ai. politics national security space x,,1,0.336633563,0.335707794,0.336633563,0.327658643,0.663366437,0,0,1,
DrMGoldstein,republican jewish physician turned politician running in the 4th cd of ct to heal our country - put a doctor in the house - vote nov 5 early voting 10/21-11/03,greenwich ct,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
MiddleNewsTwitt,"ניתוח תופעות ומגמות בפוליטיקה בחברה בדת ובתרבות במזרח התיכון / 
analysis of phenomena and trends in politics society religion and culture in the middle east",jerusalem,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,0,
k_ariela,editor in,jerusalemisrael,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
Erez_Berman,1 in 7 billion,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
YASHebron,we are a national palestinian non-partisan activist group based in hebron which seeks to end israeli colonization activities in palestine,hebron /  al-khalil,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,0,
urbanthoughts11,urban planner (msc) & designer (bsc) in copenhagen / guided tours in copenhagen presentations and micro-consulting /,københavn danmark,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
roh_min_hon,"איש עסקים ישראלי הגר בהודו. זמין בווטסאפ\סיגנל בנייד ההודי שלי. 00919900052990.davidk@fiicc.in. 
עברתי לבלוסקיי באותו יוזר",בנגלור,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
yiftachash,novelist & phd in lit.,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
el_nino_fc,chef in paris,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
gracesh02133478,sports therapist surfer and a believer in kindness & compassion,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,0,
odedkramer,short content,somewhere in the mediterranean,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
diplo,random white dude be everywhere founder of smoothie wolf feeding the streets since 1885. also in major lazer silk city jack ü and lsd,hiding in the halls,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
KinoshitaWard,constitutional rights lawyer specializing in holding the government accountable,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
TomerGamerTV,doing random stuff in the internet,in a pineapple under the sea,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
InvestShanghai,investing in shanghai sharing a future,loushanguan road shanghai,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
david18polnauer,aus budapest durch europa - wieder in budapest. eternal library foundation,budapest hungary,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
MahmoudAbed_sm,mahmoud abdullah i live in gaza i'm 24 years old.        i worked in the field of barber but the place where i worked was destroyed,gaza,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
BokobzaOmer,bsc in electrical and computer engineering at bgu,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
ThailandLost,"בין תאילנד לקנדה
lost in thailand",,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
arieladmoni,phd focused in qatar. articles published in middle eastern studies and others. speaker in cambridge grc 2022-2024,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
Amirski,humanist cynicism advocate agnostic atheist science & tech enthusiast conservative liberal  married with 3 kids scored 4 tds in a single game in polk high,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
JackMukand,translator news producer journalist based in jerusalem/whatsapp: +14015752281,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
itamar_green,in a military prison,,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
vivetchka,vaccinated and masked writer in corona days. my rt's are in the majority endorsements.,i̇stanbul,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,0,0,1,
DarthHummuss,"hummus = life.

ma in international relations.

work in natsec.

words in scattered places.

tweeting anonymously - mostly about the middle east.",,1,0.33663365,0.32766927,0.33663365,0.335697079,0.66336635,1,1,1,
