username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score
jonklinger,author of bestselling privacy policies as seen on your phone.,ramat hasharon israel,0,0.3346948722927484,0.3346948722927484,0.3335975800053976,0.3317075477018539,0.6653051277072515
OMTorah,executive director writing on the wall - join us; share your story,jerusalem israel,0,0.3346948722927484,0.3346948722927484,0.3335975800053976,0.3317075477018539,0.6653051277072515
StealthMedical1,passionate polyglot & polymath focused on biodefense infectious & rare diseases vaccine research medical ai. politics national security space x,,1,0.3366335631051792,0.3357077935695433,0.3366335631051792,0.3276586433252775,0.6633664368948208
DrMGoldstein,republican jewish physician turned politician running in the 4th cd of ct to heal our country - put a doctor in the house - vote nov 5 early voting 10/21-11/03,greenwich ct,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
MiddleNewsTwitt,"ניתוח תופעות ומגמות בפוליטיקה בחברה בדת ובתרבות במזרח התיכון / 
analysis of phenomena and trends in politics society religion and culture in the middle east",jerusalem,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
k_ariela,editor in,jerusalemisrael,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
Erez_Berman,1 in 7 billion,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
YASHebron,we are a national palestinian non-partisan activist group based in hebron which seeks to end israeli colonization activities in palestine,hebron /  al-khalil,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
urbanthoughts11,urban planner (msc) & designer (bsc) in copenhagen / guided tours in copenhagen presentations and micro-consulting /,københavn danmark,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
roh_min_hon,"איש עסקים ישראלי הגר בהודו. זמין בווטסאפ\סיגנל בנייד ההודי שלי. 00919900052990.davidk@fiicc.in. 
עברתי לבלוסקיי באותו יוזר",בנגלור,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
yiftachash,novelist & phd in lit.,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
el_nino_fc,chef in paris,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
gracesh02133478,sports therapist surfer and a believer in kindness & compassion,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
odedkramer,short content,somewhere in the mediterranean,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
diplo,random white dude be everywhere founder of smoothie wolf feeding the streets since 1885. also in major lazer silk city jack ü and lsd,hiding in the halls,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
KinoshitaWard,constitutional rights lawyer specializing in holding the government accountable,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
TomerGamerTV,doing random stuff in the internet,in a pineapple under the sea,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
InvestShanghai,investing in shanghai sharing a future,loushanguan road shanghai,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
david18polnauer,aus budapest durch europa - wieder in budapest. eternal library foundation,budapest hungary,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
MahmoudAbed_sm,mahmoud abdullah i live in gaza i'm 24 years old.        i worked in the field of barber but the place where i worked was destroyed,gaza,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
BokobzaOmer,bsc in electrical and computer engineering at bgu,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
ThailandLost,"בין תאילנד לקנדה
lost in thailand",,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
arieladmoni,phd focused in qatar. articles published in middle eastern studies and others. speaker in cambridge grc 2022-2024,,1,0.3366336501697646,0.3276692704538627,0.3366336501697646,0.3356970793763726,0.6633663498302353
