iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
3,target_population,3,65,220,15,15,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.76,0.4687,0.396,0.3938,0.7459
3,target_population,3,65,220,15,15,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.7633,0.4795,0.4048,0.4061,0.7289
3,target_population,3,65,220,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.74,0.4327,0.4231,0.4248,0.5628
3,target_population,3,65,220,15,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.7533,0.4516,0.4364,0.4395,0.5641
3,target_population,3,65,220,15,15,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.76,0.4632,0.3924,0.388,0.6892
3,target_population,3,65,220,15,15,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.7867,0.4982,0.4407,0.448,0.6877
3,target_population,3,65,220,15,15,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.78,0.4837,0.4629,0.4673,
3,target_population,3,65,220,15,15,LOOCV,,SVM,TFIDF_profile_text,500,False,0.78,0.4835,0.4593,0.465,
3,target_population,3,65,220,15,15,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.72,0.3466,0.3453,0.3203,0.5187
3,target_population,3,65,220,15,15,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.7067,0.3506,0.3537,0.3393,0.4682
3,target_population,3,65,220,15,15,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.7567,0.4615,0.427,0.4342,0.6694
3,target_population,3,65,220,15,15,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.7767,0.4945,0.4542,0.4646,0.6492
3,target_population,3,65,220,15,15,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.77,0.5153,0.5369,0.524,0.6678
3,target_population,3,65,220,15,15,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.75,0.4905,0.5071,0.4966,0.6883
3,target_population,3,65,220,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.51,0.445,0.3744,0.3868,0.5764
3,target_population,3,65,220,15,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.7133,0.4885,0.4668,0.4721,0.5828
3,target_population,3,65,220,15,15,K-Fold,5,Random Forest,TFIDF_profile_text,500,True,0.6967,0.4757,0.4313,0.4456,0.6339
3,target_population,3,65,220,15,15,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.8033,0.6125,0.5087,0.5271,0.6625
