username,bio,location,locals_vs_diaspora,comments,iteration
brandoneliscott,explorer. photographer. herbalist. artist. i showcase the many moods of nature so others can see the myriad of reasons to protect the natural world.,ohio usa,0,בן אדם פרטי מארצות הברית,3
GermanosPeter,lawyer conservative catholic j.d.writer of several novels and law studies main interest public liberties leadership in conflict. الله قوة فاعلة في هذا الكون,beirut,0,בן אדם פרטי מלבנון,3
liorz,i'm a father crowd-wisdom researcher author professional speaker and sunset hunter.  i write in english and hebrew. if you don't get it then it's in hebrew:),israel,1,בן אדם פרטי מישראל,3
dmauas,"and we won't give it a name.
we'll just call it this",israel,1,בן אדם פרטי מישראל,3
rubenanguiano,arquitecto constructor diseñador escritor emprendedor lector melómano runner. opiniones informativas no constituyen asesoría financiera ni de inversión.,juárez cuauhtémoc,0,בן אדם פרטי לא מישראל,3
danieldor8,no words.,,1,אישה מישראל(כתוב בפוסטים),3
AnnePolichetti,no tolerance for ignorance if everyone is thinking alike then somebody isn't thinking,delaware,0,אישה פרטית לא מישראל,3
SimyBenarroch,sionista y anti woke no se necesita más definición,barcelona cataluña,0,כתוב שמספרד אך ציונית ומדברת ספרדית לכן לא בטוח האם ישראלית או רק תומכת,3
SimNasr,journaliste,rt is by no means endorsing,0,עיתונאי לא מהארץ,3
peterhimmelman,grammy & emmy award nominated singer-songwriter: film composer: award winning author of suspended by no string : founder of big muse : proud jew since 1959,new york,0,גר בנויורק כתוב שיהודי גהה ויש תמונות מהילדות בפוסטים בארץ,3
Aline82547182,"do no harm take no shit
בייסיק ביטצ' ציצים להיט",,1,ישראלית גרה בארץ,3
Hey_AmIwrite,"אנחה קטנה שאף אחד לא שמע מלבד המברשת והמטלית אשר ליד האח /
little women l.m. alcott

חושבת
כותבת

* no d.m *",,1,ישראלית גרה בארץ,3
Notbackactually,no,,1,ישראלי גר בארץ,3
abierkhatib,gaza new beginningsmena politics/palestinian/sometimes no thoughtsjust cats /views r absolutely mine.retweet isn't endorsement unless i say so,amman,0,לא מהארץ,3
guidoolimpio,journalist/corriere della sera. terrorism mass shooters narcosub cartels intelligence. i love arizona & old west,no location,2,עיתונאי לא ידוע מאיפה,3
Valerie_Harper1,we're in it together now | go stanford cardinal | engaging is the highest form of praise,,0,"לא ידוע האם ישראלית, כרגע לא גרה בארץ",3
Lem4,"seo director @ similarweb /
all opinions are my own /
it's not a bug it's a feature /
may the 4th be with you",israel,1,ישראלית גרה בארץ,3
The_Shuli_M,if it ain’t broken don’t fix it.. single mom by choice airline pilot atheist liberal lioness. all twitts are my opinion only! follow to be followed..(:,israel,1,ישראלית גרה בארץ,3
