iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
2,target_population,3,38,156,6,6,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.79,0.5136,0.3575,0.3412,0.6972
2,target_population,3,38,156,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.795,0.5973,0.3596,0.3434,0.6288
2,target_population,3,38,156,6,6,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.755,0.4105,0.4023,0.4037,0.561
2,target_population,3,38,156,6,6,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.74,0.3701,0.3627,0.3592,0.4764
2,target_population,3,38,156,6,6,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.79,0.474,0.3708,0.3656,0.6398
2,target_population,3,38,156,6,6,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.79,0.474,0.3708,0.3656,0.6356
2,target_population,3,38,156,6,6,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.78,0.4359,0.393,0.3971,
2,target_population,3,38,156,6,6,LOOCV,,SVM,TFIDF_profile_text,500,False,0.82,0.5173,0.4367,0.4526,
2,target_population,3,38,156,6,6,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.755,0.3742,0.3558,0.3483,0.5256
2,target_population,3,38,156,6,6,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.765,0.3729,0.3468,0.3307,0.5063
2,target_population,3,38,156,6,6,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.81,0.4838,0.4324,0.4434,0.5645
2,target_population,3,38,156,6,6,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.815,0.4977,0.4478,0.4611,0.4865
2,target_population,3,38,156,6,6,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.8,0.4729,0.4945,0.483,0.6324
2,target_population,3,38,156,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.815,0.4957,0.5009,0.4983,0.6253
2,target_population,3,38,156,6,6,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.435,0.3863,0.3525,0.31,0.5315
2,target_population,3,38,156,6,6,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.455,0.3865,0.361,0.3161,0.5317
2,target_population,3,38,156,6,6,K-Fold,5,Random Forest,TFIDF_profile_text,500,True,0.74,0.4496,0.3627,0.3764,0.6143
2,target_population,3,38,156,6,6,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.61,0.4838,0.3337,0.385,0.6221
2,target_population,3,38,156,6,6,K-Fold,5,SVM,TFIDF_profile_text,500,True,0.78,0.441,0.413,0.4191,
2,target_population,3,38,156,6,6,LOOCV,,SVM,TFIDF_profile_text,500,True,0.81,0.4897,0.4523,0.4643,
2,target_population,3,38,156,6,6,K-Fold,5,AdaBoost,TFIDF_profile_text,500,True,0.66,0.3764,0.4081,0.3819,0.5439
2,target_population,3,38,156,6,6,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.725,0.3853,0.3828,0.3831,0.4516
2,target_population,3,38,156,6,6,K-Fold,5,XGBoost,TFIDF_profile_text,500,True,0.8,0.4605,0.4215,0.4296,0.5569
2,target_population,3,38,156,6,6,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.815,0.4817,0.4611,0.4677,0.5915
2,target_population,3,38,156,6,6,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.83,0.5255,0.4476,0.4644,0.7221
2,target_population,3,38,156,6,6,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.83,0.5255,0.4476,0.4644,0.7262
2,target_population,3,38,156,6,6,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.78,0.4603,0.4859,0.4714,0.6485
2,target_population,3,38,156,6,6,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.72,0.3782,0.374,0.3753,0.5502
2,target_population,3,38,156,6,6,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.795,0.5055,0.3729,0.3691,0.7147
2,target_population,3,38,156,6,6,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.81,0.5383,0.3992,0.4087,0.7377
2,target_population,3,38,156,6,6,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.825,0.5055,0.472,0.4825,
2,target_population,3,38,156,6,6,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.84,0.5526,0.4718,0.4935,
2,target_population,3,38,156,6,6,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8,0.459,0.4281,0.435,0.606
2,target_population,3,38,156,6,6,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.765,0.397,0.3734,0.3713,0.55
2,target_population,3,38,156,6,6,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.795,0.4684,0.4592,0.4628,0.7675
2,target_population,3,38,156,6,6,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.795,0.4841,0.4525,0.4639,0.7671
2,target_population,3,38,156,6,6,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.8,0.4875,0.4679,0.4768,0.6888
2,target_population,3,38,156,6,6,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.81,0.5007,0.4988,0.4997,0.6802
2,target_population,3,38,156,6,6,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.7,0.4053,0.4119,0.4067,0.5878
2,target_population,3,38,156,6,6,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.685,0.3866,0.3923,0.3874,0.572
2,target_population,3,38,156,6,6,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.805,0.5534,0.3838,0.385,0.7039
2,target_population,3,38,156,6,6,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.81,0.5383,0.3992,0.4087,0.7484
2,target_population,3,38,156,6,6,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.78,0.4687,0.4329,0.4471,
2,target_population,3,38,156,6,6,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.805,0.4983,0.4701,0.4822,
2,target_population,3,38,156,6,6,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.695,0.4098,0.4563,0.4186,0.6408
2,target_population,3,38,156,6,6,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.795,0.4599,0.4724,0.4661,0.5269
2,target_population,3,38,156,6,6,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.755,0.4399,0.4421,0.4409,0.7796
2,target_population,3,38,156,6,6,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.805,0.4883,0.4701,0.4777,0.7821
2,target_population,2,38,156,0,38,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.8041,0.4021,0.5,0.4457,0.8453
2,target_population,2,38,156,0,38,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.8041,0.4021,0.5,0.4457,0.8392
2,target_population,2,38,156,0,38,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.7732,0.6022,0.5703,0.5777,0.6439
2,target_population,2,38,156,0,38,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.7784,0.6229,0.5935,0.6027,0.5735
2,target_population,2,38,156,0,38,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.8093,0.6886,0.553,0.5521,0.803
2,target_population,2,38,156,0,38,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.8144,0.713,0.5661,0.5721,0.8153
2,target_population,2,38,156,0,38,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.7938,0.6317,0.5633,0.5697,0.8214
2,target_population,2,38,156,0,38,LOOCV,,SVM,TFIDF_profile_text,500,False,0.8351,0.7679,0.6287,0.6558,0.8271
2,target_population,2,38,156,0,38,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.7887,0.5889,0.5302,0.5212,0.705
2,target_population,2,38,156,0,38,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.8196,0.7335,0.5793,0.5912,0.7129
2,target_population,2,38,156,0,38,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.8247,0.72,0.6621,0.6819,0.7096
2,target_population,2,38,156,0,38,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.8299,0.7415,0.6355,0.6607,0.651
2,target_population,2,38,156,0,38,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.8351,0.7397,0.7581,0.7481,0.8458
